Name,IATA,Country
QatXpress,C3,Qatar
OneChina,1C,China
NordStar Airlines,Y7,Russia
Joy Air,JR,China
Air India Regional,CD,India
MDLR Airlines,9H,India
Jagson Airlines,,India
Maldivian,Q2,Maldives
Xpressair,XN,Indonesia
Strategic Airlines,VC,Australia
Fars Air Qeshm,,Iran
Eastok Avia,,Kyrgyzstan
Jupiter Airlines,,United Arab Emirates
Vision Air International,,Pakistan
Al-Naser Airlines,,Iraq
Fuji Dream Airlines,JH,Japan
Korea Express Air,,South Korea
Eznis Airways,,Mongolia
Pacific Flier,,Palau
Syrian Pearl Airlines,,Syria
SGA Airlines,5E,Thailand
Air2there,F8,New Zealand
Avianova (Russia),AO,Russia
Parmiss Airlines (IPV),PA,Iran
EuropeSky,ES,Germany
BRAZIL AIR,GB,Brazil
Homer Air,MR,Germany
U.S. Air,-+,United States
Jayrow,\\',Australia
Wilderness Air,;;,Australia
Whitaker Air,^^,Australia
PanAm World Airways,WQ,United States
Virginwings,YY,Germany
KSY,KY,Greece
Buquebus Líneas Aéreas,BQ,Uruguay
SOCHI AIR,CQ,Russia
Wizz Air Ukraine,WU,Ukraine
88,47,Cyprus
LCM AIRLINES,LQ,Russia
Cambodia Angkor Air (K6),K6,Cambodia
Royal European Airlines,69,United Kingdom
Tom\\'s & co airliners,&T,France
Azul,AD,Brazil
LSM Airlines,PQ,Russia
Zapolyarie Airlines,,Russia
Finlandian,,Finland
LionXpress,C4,Cameroon
Genesis,GK,Pakistan
Congo Express,XZ,Congo (Kinshasa)
Fly Dubai,FZ,United Arab Emirates
Domenican Airlines,D1,Dominican Republic
ConneX European Airline,,Austria
Aereonautica militare,JY,Italy
Kal Star Aviation,,Indonesia
LSM AIRLINES ,YZ,Russia
UTair-Express,UR,Russia
Huaxia,G5,China
Zabaykalskii Airlines,ZP,Russia
CBM America,,United States
Marysya Airlines,M4,Russia
N1,N1,Peru
Airlink (SAA),4Z,South Africa
Westfalia Express VA,,Germany
JobAir,3B,Czech Republic
Black Stallion Airways,BZ,United States
German International Air Lines,GM,Germany
TrasBrasil,TB,Brazil
TransBrasil Airlines,TH,Brazil
China SSS,9C,China
AIR INDOCHINE,,Vietnam
Happy Air,,Thailand
Solar Air,,Thailand
Air Mekong,P8,Vietnam
Harbour Air (Priv),H3,Canada
Air Hamburg (AHO),HH,Germany
ZABAIKAL AIRLINES,Z6,Russia
TransHolding,TI,Brazil
SUR Lineas Aereas,,Argentina
Aerolineas Africanas,,Guinea
Yeti Airways,YT,Nepal
Yellowstone Club Private Shuttle,Y1,United States
Caucasus Airlines,NS,Georgia
Serbian Airlines,S1,Serbia
Windward Islands Airways,WM,Netherlands Antilles
TransHolding System,YO,Brazil
CCML Airlines,CB,Colombia
Small Planet Airlines,,Lithuania
Fly Brasil,F1,Brazil
CB Airways UK ( Interliging Flights ),1F,United Kingdom
Fly Colombia ( Interliging Flights ),3F,Colombia
Trans Pas Air,T6,United States
KMV,МИ,Russia
Himalayan Airlines,HC,Nepal
Indya Airline Group,G1,India
Sunwing,WG,Canada
Turkish Wings Domestic,,Turkey
Japan Regio,ZX,Japan
OCEAN AIR CARGO,,India
Norte Lineas Aereas,N0,Argentina
Austral Brasil,W7,Brazil
PEGASUS AIRLINES-,H9,Turkey
Nihon.jet connect,,Kyrgyzstan
Camair-co,QC,Cameroon
Sky Regional,RS,Canada
LSM International ,II,Russia
Baikotovitchestrian Airlines ,BU,American Samoa
Luchsh Airlines ,L4,Russia
ENTERair,,Poland
Air Cargo Germany,6U,Germany
Mongolian International Air Lines ,7M,Mongolia
Tway Airlines,TW,South Korea
Papillon Grand Canyon Helicopters,HI,United States
Jusur airways,JX,Egypt
NEXT Brasil,XB,Brazil
AeroWorld ,W4,Russia
GNB Linhas Aereas,GN,Brazil
Usa Sky Cargo,E1,United States
Hankook Airline,HN,South Korea
REDjet,Z7,Barbados
Red Jet Andes,PT,Peru
Red Jet Canada,QY,Canada
Sprintair,,Poland
Red Jet Mexico,4X,Mexico
Marusya Airways,Y8,Russia
Era Alaska,7H,United States
AirRussia,R8,Russia
Hankook Air US,H1,United States
Carpatair Flight Training,,Romania
I-Fly,H5,Russia
Whitejets,,Brazil
VickJet,KT,France
BVI Airways,XV,British Virgin Islands
Hamburg Airways,,Germany
Salsa d\\'Haiti,SO,Haiti
Zambezi Airlines (ZMA),ZJ,Zambia
Kan Air,,Thailand
Air Cudlua,,United Kingdom
Polet Airlines (Priv),YQ,Russia
Air Explore,,Slovakia
12 North,12,India
Holidays Czech Airlines,,Czech Republic
Comtel Air,,Austria
Mint Airways,,Spain
Orbit Airlines,,United States
Air Bucharest,,Romania
AlbaStar,,Spain
Mauritania Airlines International,L6,Mauritania
MAT Airways,6F,Macedonia
Asian Wings Airways,AW,Burma
Air Arabia Egypt,E5,Egypt
Eagles Airlines,,Italy
YES Airways,,Poland
Alitalia Cityliner,CT,Italy
Direct Aero Services,,Romania
Medallion Air,,Romania
Orchid Airlines,OI,Australia
Asia Wings,Y5,Kazakhstan
Georgian International Airlines,,Georgia
Air Batumi,,Georgia
Skywest Australia,XR,Australia
Nile Air,NP,Egypt
Feeder Airlines,,Sudan
Senegal Airlines,DN,Senegal
Fly 6ix,6I,Sierra Leone
Starbow Airlines,S9,Ghana
Copenhagen Express,0X,Denmark
BusinessAir,8B,Thailand
SENIC AIRLINES,YR,United States
XOJET,,United States
Sky Wing Pacific,C7,South Korea
Bateleur Air,,South Africa
Air Indus,PP,Pakistan
Orbit International Airlines,,United States
Orbit Regional Airlines,,United States
Orbit Atlantic Airways,,United States
Volotea,,Spain
Peach Aviation,MM,Japan
Helitt Líneas Aéreas,,Spain
Russia State Transport,,Russia
Malaysia Wings,,Malaysia
Aviabus,U1,Russia
Michael Airlines,DF,Puerto Rico
Korongo Airlines,ZC,Congo (Kinshasa)
Indonesia Sky,I5,Indonesia
Aws express,B0,United States
Southjet,76,United States
Southjet connect,77,United States
Southjet cargo,78,United States
Iberia Express,I2,Spain
Interjet (ABC Aerolineas),4O,Mexico
AirOnix,OG,Ukraine
Nordic Global Airlines,NJ,Finland
Scoot,TZ,Singapore
Hi Fly (5K),5K,Portugal
China Northwest Airlines (WH),WH,China
Zenith International Airline,ZN,Thailand
Orbit Airlines Azerbaijan,O1,Azerbaijan
Air Alps Aviation (A6),A6,Austria
Flying kangaroo Airline,,Australia
RusJet,,Russia
VietJet Air,,Vietnam
Patriot Airways,P4,United States
Vision Airlines (V2),V2,United States
BQB Lineas Aereas,5Q,Uruguay
AirAsia Japan,,Japan
Yellowtail,YE,United States
Royal Airways,KG,United States
FlyHigh Airlines Ireland (FH),FH,Ireland
Executive AirShare,,United States
Hebei Airlines,,China
Air KBZ,,Burma
Aero VIP (2D),2D,Portugal
Yangon Airways Ltd.,YH,Burma
T.J. Air,TJ,United States
SkyWork Airlines ,SX,Switzerland
Maastricht Airlines,W2,Netherlands
Euro Jet,24,Germany
Ukraine Atlantic,,Ukraine
Nesma Airlines,,Egypt
East Horizon,,Afghanistan
Air Majoro,,Peru
Rotana Jet,,United Arab Emirates
SOCHI AIR CHATER,Q3,Russia
Denim Air ,J7,Norway
Malindo Air,OD,Malaysia
Hermes Airlines,,Greece
Flightlink Tanzania,Z9,Tanzania
IzAvia,I8,Russia
Катэкавиа,,Russia
Псковавиа,,Russia
Maryland Air,M1,United States
Insel Air (7I/INC) (Priv),7I,Netherlands Antilles
VivaColombia,5Z,Colombia
Flybe Finland Oy,,Finland
Bingo Airways,,Poland
Bluebird Airways (BZ),,Greece
Apache Air,ZM,United States
MHS Aviation GmbH,M2,Germany
Jettor Airlines,NR,Hong Kong
Flyme (VP),,Maldives
Thai Lion Air,SL,Thailand
Golden Myanmar Airlines,,Burma
Canaryfly,,Spain
Sunrise Airways,,Haiti
National Air Cargo,N8,United States
Eastern Atlantic Virtual Airlines,13,United States
Citilink Indonesia,QG,Indonesia
Transair,,Canada
Comfort Express Virtual Charters Albany,,United States
Comfort Express Virtual Charters,,United States
FLYJET,,Poland
Snowbird Airlines,S8,Finland
Russkie Krylya,,Russia
Kharkiv Airlines,KH,Ukraine
XAIR USA,XA,United States
Air Costa,LB,India
Simrik Airlines,,Nepal
XPTO,XP,Portugal
Royal Flight,,Russia
BBN-Airways,,United Kingdom
Tomsk-Avia,,Russia
Malawian Airlines,3W,Malawi
Yeti Airlines ,,Nepal
Avilu,..,Switzerland
Air Serbia,JU,Serbia
Skyline Ulasim Ticaret A.S.,,Turkey
Air Lituanica,LT,Lithuania
Envoy Air,,United States
CARICOM AIRWAYS (BARBADOS) INC.,,Barbados
Rainbow Air (RAI),RN,United States
Rainbow Air Canada,RY,Canada
Rainbow Air Polynesia,RX,United States
Rainbow Air Euro,RU,United Kingdom
Rainbow Air US,RM,United States
Transilvania,,Romania
Dobrolet,QD,Russia
Spike Airlines,S0,United States
Grand Cru Airlines,,Lithuania
Go2Sky,,Slovakia
All Argentina,L1,Argentina
All America,A2,United States
All Asia,L9,China
All Africa,9A,South Africa
Regionalia México,N4,Mexico
All Europe,N9,United Kingdom
All Spain,N7,Spain
Regional Air Iceland,9N,Iceland
Voestar,8K,Brazil
All Colombia,7O,Colombia
Regionalia Uruguay,2X,Uruguay
Regionalia Venezuela,9X,Venezuela
Regionalia Chile,9J,Chile
Vuela Cuba,6C,Cuba
All Australia,88,Australia
Fly Europa,ER,Spain
FlyPortugal,PO,Portugal
Spring Airlines Japan,IJ,Japan
Dense Airways,KP,United States
Dense Connection,KZ,United States
Vuola Italia,4S,Italy
Jet Suite,,United States
Fly Jamaica Airways,,Jamaica
Island Express Air,1X,Canada
All Argentina Express,Z0,Argentina
Thai Smile Airways,WE,Thailand
International AirLink,I4,Jamaica
Real Tonga,RT,Tonga
All America AR,2R,Argentina
All America CL,1R,Chile
SOCHI AIR EXPRESS,Q4,Russia
All America BR,1Y,Brazil
Volotea Costa Rica,9V,Costa Rica
Fly Romania,X5,Romania
Eagle Atlantic Airlines,E2,Ghana
Fly Africa Zimbabwe,,Zimbabwe
San Dima Air,,United States
All America CO,0Y,Colombia
All America MX,0M,Mexico
FOX Linhas Aereas,FX,Brazil
Air Kenya (Priv),QP,Kenya
Via Conectia Airlines,6V,Uruguay
Hebradran Air Services,,United Kingdom
Pobeda,,Russia
City Airways,E8,Thailand
Norwegian Long Haul AS,DU,Norway
BA101,,United Kingdom
TransNusa Air,M8,Indonesia
Tomp Airlines,ZT,Chile
Fuzhou Airlines,,China
Sky Angkor Airlines (ZA),,Cambodia
OneJet,J1,United States
Global Airlines,0G,Argentina
Mann Yadanarpon Airlines,,Burma
Air Vistara,UK,India
TransRussiaAirlines,1E,Russia
Severstal Air Company,D2,Russia
REXAIR VIRTUEL,RR,France
WestJet Encore,WR,Canada
Air Pegasus,OP,India
International Europe,9I,Spain
Sky Regional Airlines,,Canada
V Air,ZV,Taiwan
Cello Aviation,,United Kingdom
Pouya Air,,Iran
Boutique Air (Priv),4B,United States
FlyEgypt,,Egypt
VOLOTEA Airways,V7,Spain
INAVIA Internacional,Z5,Argentina
Liberty Airways,LE,United States
Аэросервис,АЯ,Russia
Aeronautica Militare,,Italy
Bassaka airlines,5B,Cambodia
Jetstar Japan ,,Japan
SkyBahamas Airlines,Q7,Bahamas
UVT Aero,UW,Russia
First Flying,,Japan
Silver Airways (3M),3M,United States
AtlasGlobal Ukraine,,Ukraine
Boliviana de Aviacion (OB),,Bolivia
US-Bangla Airlines,,Bangladesh
Norwegian Air International (D8),,Norway
ATA Airlines (Iran),I3,Iran
VIA Líneas Aéreas,V1,Argentina
GermanXL,GX,Germany
Alghanim,,United States
Indonesa Air Aisa X,,Indonesia
Fly France,FF,France
Jota Aviation,,United Kingdom
Europe Jet,EX,France
COBALT,,Cyprus
Southern Airways Express,,United States
Orenburzhie,,Russia
World Scale Airlines,W3,United States
All America US,AG,United States
University of Birmingham Air Squadron (RAF),,United Kingdom
Choice Airways,,United States
Aruba Airlines,,Aruba
BudgetAir,1K,Germany
Dynamic Airways,,United States
Fly One,F5,Moldova
Nordica,EE,Estonia
Tez Jet Airlines,,Kyrgyzstan
Kush Air,,South Sudan
ViaAir,,United States
All America BOPY,0P,Paraguay
Thai Vietjet Air,,Thailand
GX Airlines,,China
Jetgo Australia,JG,Australia
Air Carnival,2S,India
Svyaz Rossiya,7R,Russia
